"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"887","Newport West",62137,40347,16633,13123,1581,1272,6134,0,2015,0.5300677103
"888","Newry and Armagh",74308,44906,0,0,0,0,0,0,2010,NA
"889","Newry and Armagh",77633,49877,0,210,0,0,0,0,2015,NA
"890","Newton Abbot",69319,48283,3387,20774,20251,701,3088,0,2010,0.56101102
"891","Newton Abbot",69928,48253,4736,22794,11560,2216,6726,0,2015,0.56101102
"892","Norfolk Mid",74260,50765,8857,25123,11267,1457,2800,0,2010,NA
"893","Norfolk Mid",77154,52212,9585,27206,3300,2191,9930,0,2015,NA
"894","Norfolk North",68867,49414,5043,15256,19299,1488,8328,0,2015,NA
"895","Norfolk North",67851,49661,2896,15928,27554,508,2680,0,2010,NA
"896","Norfolk North West",73105,47800,6353,25916,11106,745,1841,0,2010,NA
"897","Norfolk North West",74402,47371,10779,24727,1673,1780,8412,0,2015,NA
"898","Norfolk South",76179,54993,7252,27133,16193,1000,2329,0,2010,NA
"899","Norfolk South",80721,57123,10502,30995,4689,3090,7847,0,2015,NA
"900","Norfolk South West",73758,49150,9119,23753,10613,830,3061,0,2010,NA
"901","Norfolk South West",76970,50110,8649,25515,2217,2075,11654,0,2015,NA
"902","Normanton, Pontefract and Castleford",82336,46239,22293,11314,7585,0,0,0,2010,0.6925528289
"903","Normanton, Pontefract and Castleford",82592,45897,25213,9569,1330,0,9785,0,2015,0.6925528289
"904","North Ayrshire and Arran",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4229065403
"905","North Cornwall",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6032021785
"906","North Devon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5703847943
"907","North Dorset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5641147657
"908","North Durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6013442628
"909","North East Bedfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5329326007
"910","North East Cambridgeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6944604007
"911","North East Derbyshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6217313517
"912","North East Fife",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3813719637
"913","North East Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4592303848
"914","North East Hertfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5137693409
"915","North East Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5211688115
"916","North Herefordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5825016186
"917","North Norfolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5825388155
"918","North Shropshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5945746021
"919","North Somerset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4796739156
"920","North Swindon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5744267235
"921","North Thanet",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6496979873
"922","North Tyneside",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5936533258
"923","North Warwickshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6777035648
"924","North West Cambridgeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569533401
"925","North West Durham",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5498292758
"926","North West Hampshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5452543174
"927","North West Leicestershire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6069847772
"928","North West Norfolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6614050216
"929","North Wiltshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5036643267
"930","Northampton North",59144,39411,13454,16699,1401,1503,6354,0,2015,0.6068557353
"931","Northampton North",61850,40271,11799,13735,11250,443,1238,0,2010,0.6068557353
"932","Northampton South",63105,38978,9913,15917,7579,363,1897,0,2010,0.5961124246
"933","Northampton South",61287,38884,12370,16163,1673,1403,7114,0,2015,0.5961124246
"934","Northamptonshire South",85781,60862,10191,36607,3613,2247,8204,0,2015,NA
"935","Northamptonshire South ",82033,59890,10380,33081,12603,685,2406,0,2010,NA
"936","Norwich North",64515,43592,14589,19052,1894,1939,5986,0,2015,0.573218222
"937","Norwich North",64814,42573,13379,17280,7783,1245,1878,0,2010,0.573218222
"938","Norwich South",73649,47551,13650,10902,13960,7095,1145,0,2010,0.4036060387
"939","Norwich South",74875,48463,19033,11379,6607,6749,4539,0,2015,0.4036060387
"940","Nottingham East",60464,35209,0,7314,1475,3473,3501,0,2015,0.4287932214
"941","Nottingham East",58705,33112,15022,7846,8053,928,1138,0,2010,0.4287932214
"942","Nottingham North",63240,34285,16646,8508,5849,0,1338,0,2010,0.6380805601
"943","Nottingham North",65918,35343,19283,7423,847,1088,6542,0,2015,0.6380805601
"944","Nottingham South",67441,40789,15209,13437,9406,630,967,0,2010,0.4646776483
"945","Nottingham South",68987,43465,20697,13761,1532,2345,4900,0,2015,0.4646776483
"946","Nuneaton",67837,44646,16467,18536,6846,0,0,0,2010,0.6475463211
"947","Nuneaton",68037,45749,15945,20827,816,1281,6582,0,2015,0.6475463211
"948","Ochil and Perthshire South",77370,57871,16452,11987,1481,0,1331,26620,2015,NA
"949","Ochil and South Perthshire",75115,50469,19131,10342,5754,609,689,13944,2010,0.3925028404
"950","Ogmore",55572,35250,18663,5620,1072,754,5420,0,2015,0.5975247001
"951","Ogmore",55527,34650,18644,5398,5260,0,780,0,2010,0.5975247001
