"","Constituency.Name","Electorate","Votes","Lab","Con","LD","Grn","UKIP","SNP","year","leave"
"1112","South Cambridgeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3844375957
"1113","South Derbyshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6035100097
"1114","South Dorset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5949281068
"1115","South East Cambridgeshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4498843746
"1116","South East Cornwall",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5494650187
"1117","South Holland and The Deepings",76243,50188,7024,29639,7759,724,3246,0,2010,0.7117795959
"1118","South Holland and The Deepings",76460,49207,6122,29303,1466,1580,10736,0,2015,0.7117795959
"1119","South Leicestershire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5821654142
"1120","South Norfolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5110654367
"1121","South Northamptonshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5267258407
"1122","South Ribble",75822,51458,17842,23396,7271,0,1895,0,2010,0.5685420467
"1123","South Ribble",76489,52370,18368,24313,2312,0,7377,0,2015,0.5685420467
"1124","South Shields",62730,36265,18589,6021,639,1614,7975,0,2015,0.6205253267
"1125","South Shields",64084,36518,18995,7886,5189,762,0,0,2010,0.6205253267
"1126","South Staffordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6524281719
"1127","South Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5415032318
"1128","South Swindon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5157444245
"1129","South Thanet",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6163407657
"1130","South West Bedfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5861080917
"1131","South West Devon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5522960826
"1132","South West Hertfordshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4637440658
"1133","South West Norfolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6625166752
"1134","South West Surrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4060791595
"1135","South West Wiltshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5768707336
"1136","Southampton Itchen",74532,44412,16326,16134,9256,600,1928,0,2010,NA
"1137","Southampton Itchen",72281,44710,0,18656,1595,1876,6010,0,2015,NA
"1138","Southampton Test",71931,44187,17001,14588,9865,881,1726,0,2010,NA
"1139","Southampton Test",70270,43652,18017,14207,2121,2568,5566,0,2015,NA
"1140","Southampton, Itchen",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5995870197
"1141","Southampton, Test",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5065283649
"1142","Southend West",66918,43606,5850,20086,12816,644,1714,0,2010,0.5507458096
"1143","Southend West",66876,44509,8154,22175,4129,2083,7803,0,2015,0.5507458096
"1144","Southport",67326,44101,8468,12330,13652,1230,7429,0,2015,0.455067037
"1145","Southport",67200,43757,4116,15683,21707,0,2251,0,2010,0.455067037
"1146","Spelthorne",71592,49079,9114,24386,3163,1724,10234,0,2015,0.60299599
"1147","Spelthorne",70479,47304,7789,22261,12242,0,4009,0,2010,0.60299599
"1148","St Albans",75825,54433,12660,25392,10076,2034,4271,0,2015,0.3801529694
"1149","St Albans",70058,52835,9288,21533,19228,758,2028,0,2010,0.3801529694
"1150","St Austell and Newquay",75284,47238,3386,18877,20189,0,1757,0,2010,0.6350799896
"1151","St Austell and Newquay",76607,50361,5150,20250,12077,2318,8503,0,2015,0.6350799896
"1152","St Helens North",75262,46256,26378,9087,2046,1762,6983,0,2015,0.582912107
"1153","St Helens North",74985,44556,23041,9940,8992,0,2100,0,2010,0.582912107
"1154","St Helens South and Whiston",77975,46081,24364,8209,10242,0,1226,0,2010,0.5611943015
"1155","St Helens South and Whiston",77720,48397,28950,7707,2737,2237,6766,0,2015,0.5611943015
"1156","St Ives",66944,45921,3751,17900,19619,1308,2560,0,2010,0.5512600721
"1157","St Ives",65570,48312,4510,18491,16022,3051,5720,0,2015,0.5512600721
"1158","Stafford",70667,50239,16587,22047,8211,564,1727,0,2010,0.5721842569
"1159","Stafford",68705,48767,14429,23606,1348,1390,6293,0,2015,0.5721842569
"1160","Staffordshire Moorlands",62137,43815,13104,19793,7338,0,3580,0,2010,0.6458231542
"1161","Staffordshire Moorlands",63104,42587,11596,21770,1759,1226,6236,0,2015,0.6458231542
"1162","Staffordshire South",73849,50440,10244,26834,8427,0,2753,0,2010,NA
"1163","Staffordshire South",72771,49598,9107,29478,1448,1298,8267,0,2015,NA
"1164","Stalybridge and Hyde",71357,41034,0,11761,1256,1850,7720,0,2015,0.592907293
"1165","Stalybridge and Hyde",69081,40879,16189,13445,6965,679,1342,0,2010,0.592907293
"1166","Stevenage",70597,47799,0,21291,1582,1369,6864,0,2015,0.5712019136
"1167","Stevenage",68937,44651,14913,18491,7432,0,2004,0,2010,0.5712019136
"1168","Stirling",67236,52135,13303,12051,1392,1606,0,23783,2015,0.3219611271
"1169","Stirling",66080,46841,19558,11254,6797,746,395,8091,2010,0.3219611271
"1170","Stockport",62879,39128,16697,9913,9778,677,862,0,2010,0.4678932179
"1171","Stockport",63931,39649,19771,9710,3034,1753,5206,0,2015,0.4678932179
"1172","Stockton North",66126,39571,19436,11069,884,0,7581,0,2015,0.6650023263
"1173","Stockton North",66752,39498,16923,10247,6342,0,1556,0,2010,0.6650023263
"1174","Stockton South",75111,51797,0,24221,1366,952,5480,0,2015,0.5780350318
"1175","Stockton South",73840,50284,19245,19577,7600,0,1471,0,2010,0.5780350318
"1176","Stoke-on-Trent Central",61003,32470,12605,6833,7039,0,1402,0,2010,0.6501656311
"1177","Stoke-On-Trent Central",60634,31084,12220,7008,1296,1123,7041,0,2015,NA
"1178","Stoke-on-Trent North",72054,40196,17815,9580,7120,0,2485,0,2010,0.7212336987
"1179","Stoke-On-Trent North",71438,38654,15429,10593,1137,1091,9542,0,2015,NA
"1180","Stoke-on-Trent South",68032,39852,15446,11316,6323,0,1363,0,2010,0.7084797992
"1181","Stoke-On-Trent South",68091,39107,15319,12780,1309,1029,8298,0,2015,NA
"1182","Stone",67062,47229,9770,23890,10598,490,2481,0,2010,0.5804241671
"1183","Stone",67339,47031,9483,25733,2473,1191,7620,0,2015,0.5804241671
"1184","Stourbridge",69637,47234,14989,20153,7733,394,2103,0,2010,0.6366398328
"1185","Stourbridge",69077,46029,14501,21195,1538,1021,7774,0,2015,0.6366398328
"1186","Strangford",64289,33924,0,2167,0,0,2237,0,2015,NA
"1187","Strangford",60539,32505,0,0,0,562,0,0,2010,NA
"1188","Stratford-on-Avon",69517,50542,4809,26052,14706,527,1846,0,2010,0.5116542882
"1189","Stratford-On-Avon",71304,51459,6677,29674,6182,2128,6798,0,2015,NA
"1190","Streatham",74532,46837,20037,8578,16778,861,0,0,2010,0.2053967406
"1191","Streatham",79137,49933,26474,12540,4491,4421,1602,0,2015,0.2053967406
"1192","Stretford and Urmston",70991,44910,21821,12886,7601,916,1508,0,2010,0.4846768539
"1193","Stretford and Urmston",69026,46386,24601,12916,1362,2187,5068,0,2015,0.4846768539
"1194","Stroud",80544,60819,0,27813,2086,2779,4848,0,2015,0.4598749413
"1195","Stroud",78286,57973,22380,23679,8955,1542,1301,0,2010,0.4598749413
"1196","Suffolk Central and Ipswich North",75786,53420,8636,27125,13339,1452,2361,0,2010,NA
"1197","Suffolk Central and Ipswich North",76666,54089,10173,30317,3314,2664,7459,0,2015,NA
"1198","Suffolk Coastal",77816,55594,10013,28855,4777,3294,8655,0,2015,0.5581571415
"1199","Suffolk Coastal",76572,54893,8812,25475,16347,1103,3156,0,2010,0.5581571415
"1200","Suffolk South",73836,51907,10001,27546,4044,2253,7897,0,2015,NA
"1201","Suffolk South",72498,51416,7368,24550,15861,0,3637,0,2010,NA
"1202","Suffolk West",74374,48089,7089,24312,11262,0,3085,0,2010,NA
"1203","Suffolk West",76198,49232,8604,25684,2465,1779,10700,0,2015,NA
"1204","Sunderland Central",74485,42463,19495,12770,7191,0,1094,0,2010,0.5993816529
"1205","Sunderland Central",72950,41762,20959,9780,1105,1706,7997,0,2015,0.5993816529
"1206","Surrey East",79654,56103,6627,32211,5189,2159,9553,0,2015,NA
"1207","Surrey East",76855,54640,4925,31007,14133,0,3770,0,2010,NA
"1208","Surrey Heath",79515,54431,6100,32582,4937,2400,7778,0,2015,0.5199617565
"1209","Surrey Heath",78107,54347,5552,31326,14037,0,3432,0,2010,0.5199617565
"1210","Surrey South West",77548,57119,5415,34199,3586,3105,5643,0,2015,NA
"1211","Surrey South West",76501,57259,3419,33605,17287,690,1486,0,2010,NA
"1212","Sussex Mid",81034,57492,7982,32268,6604,2453,6898,0,2015,NA
"1213","Sussex Mid",77199,55855,3689,28329,20927,645,1423,0,2010,NA
"1214","Sutton and Cheam",69228,49905,5546,20732,16811,1051,5341,0,2015,0.5126743332
"1215","Sutton and Cheam",66658,48508,3376,20548,22156,246,950,0,2010,0.5126743332
"1216","Sutton Coldfield",74956,50854,11365,27782,2627,1426,7489,0,2015,0.5167437686
"1217","Sutton Coldfield",74489,50589,10298,27303,9117,535,1587,0,2010,0.5167437686
"1218","Swansea East",58011,33618,17807,5142,1392,0,5779,0,2015,0.620992238
"1219","Swansea East",59823,32676,16819,4823,5981,318,839,0,2010,0.620992238
"1220","Swansea West",58776,35156,0,7931,3178,1784,4744,0,2015,0.4265852976
"1221","Swansea West",61334,35593,12335,7407,11831,404,716,0,2010,0.4265852976
"1222","Swindon North",78384,50295,15348,22408,8668,487,1842,0,2010,NA
"1223","Swindon North",80983,52242,14509,26295,1704,1723,8011,0,2015,NA
"1224","Swindon South",73926,49263,16992,22777,1817,1757,5920,0,2015,NA
"1225","Swindon South",72619,47119,16143,19687,8305,619,2029,0,2010,NA
"1226","Tamworth",71962,46390,15148,21238,7516,0,2253,0,2010,0.660041137
"1227","Tamworth",71913,47174,12304,23606,1427,1110,8727,0,2015,0.660041137
"1228","Tatton",65004,45298,8311,26552,3850,1714,4871,0,2015,0.4583063
"1229","Tatton",66746,45231,7803,24687,10200,0,0,0,2010,0.4583063
"1230","Taunton Deane",83221,57887,5347,27849,12358,2630,6921,0,2015,0.5292471057
"1231","Taunton Deane",82507,58150,2967,24538,28531,0,2114,0,2010,0.5292471057
"1232","Telford",66166,40645,15364,16094,927,930,7330,0,2015,0.670579494
"1233","Telford",65061,41310,15974,14996,6399,0,2428,0,2010,0.670579494
"1234","Tewkesbury",76655,53961,6253,25472,19162,525,2230,0,2010,0.537790386
"1235","Tewkesbury",78910,55344,8204,30176,7629,2207,7128,0,2015,0.537790386
"1236","Thanet North",68602,43343,9298,22826,8400,0,2819,0,2010,NA
"1237","Thanet North",71478,47053,8411,23045,1645,1719,12097,0,2015,NA
"1238","Thanet South",70045,45933,14426,22043,6935,0,2529,0,2010,NA
"1239","Thanet South",70970,49401,11740,18838,932,1076,16026,0,2015,NA
"1240","The Cotswolds",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4779690542
"1241","The Wrekin",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5824790771
"1242","Thirsk and Malton",77451,52365,8089,27545,4703,2404,7805,0,2015,0.5642595163
"1243","Thirsk and Malton",76416,38142,5169,20167,8886,0,2502,0,2010,0.5642595163
"1244","Thornbury and Yate",66066,48570,3775,19924,18429,1316,5126,0,2015,0.5332839051
"1245","Thornbury and Yate",64092,48226,3385,17916,25032,0,1709,0,2010,0.5332839051
"1246","Thurrock",77559,49564,16156,16692,644,0,15718,0,2015,0.7025913649
"1247","Thurrock",77758,45821,16777,16869,4901,0,3390,0,2010,0.7025913649
"1248","Tiverton and Honiton",76808,54894,4907,27614,18294,802,3277,0,2010,0.5762505819
"1249","Tiverton and Honiton",76270,53763,6835,29030,5626,3415,8857,0,2015,0.5762505819
"1250","Tonbridge and Malling",74877,53670,7604,31887,3660,2366,8153,0,2015,0.5258550506
"1251","Tonbridge and Malling",71790,51314,6476,29723,11545,764,1911,0,2010,0.5258550506
"1252","Tooting",76782,53529,25263,22421,2107,2201,1537,0,2015,0.2532017438
"1253","Tooting",73840,50655,22038,19514,7509,609,624,0,2010,0.2532017438
"1254","Torbay",76350,48079,4166,19551,16265,1557,6540,0,2015,0.6265951073
"1255","Torbay",76244,49210,3231,19048,23126,468,2628,0,2010,0.6265951073
"1256","Torfaen",61896,37937,16938,8769,1271,746,7203,0,2015,0.6088015426
"1257","Torfaen",61183,37640,16847,7541,6264,438,862,0,2010,0.6088015426
"1258","Torridge and West Devon",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5707446545
"1259","Totnes",68630,47097,5988,24941,4667,4845,6656,0,2015,0.5408686983
"1260","Totnes",67962,47843,3538,21940,17013,1181,2890,0,2010,0.5408686983
"1261","Tottenham",68834,40687,24128,6064,7197,980,466,0,2010,0.2377702633
"1262","Tottenham",70803,42558,28654,5090,1756,3931,1512,0,2015,0.2377702633
"1263","Truro and Falmouth",73601,51544,7814,22681,8681,4483,5967,0,2015,0.4622133598
"1264","Truro and Falmouth",70598,48768,4697,20349,19914,858,1911,0,2010,0.4622133598
"1265","Tunbridge Wells",73429,51428,7307,30181,4342,2659,6481,0,2015,0.4470139079
"1266","Tunbridge Wells",73855,50320,5448,28302,12726,914,2054,0,2010,0.4470139079
"1267","Twickenham",80250,62004,7129,25580,23563,2463,3069,0,2015,0.3367556087
"1268","Twickenham",80569,59721,4583,20343,32483,674,868,0,2010,0.3367556087
"1269","Tynemouth",75680,52668,23860,18121,7845,538,900,0,2010,0.4784100909
"1270","Tynemouth",77524,53495,25791,17551,1595,2017,6541,0,2015,0.4784100909
"1271","Tyneside North",77690,46405,23505,8514,10621,0,1306,0,2010,NA
"1272","Tyneside North",79300,46818,26191,8997,2075,1442,7618,0,2015,NA
"1273","Tyrone West",61148,37275,0,0,0,0,0,0,2010,NA
"1274","Tyrone West",63856,38654,0,169,0,780,0,0,2015,NA
"1275","Ulster Mid",67832,40922,0,120,0,0,863,0,2015,NA
"1276","Ulster Mid",64594,40842,0,0,0,0,0,0,2010,NA
"1277","Upper Bann",80060,47219,0,201,0,0,0,0,2015,NA
"1278","Upper Bann",74732,41383,0,0,0,0,0,0,2010,NA
"1279","Uxbridge and Ruislip South",71160,45076,10542,21758,8995,477,1234,0,2010,NA
"1280","Uxbridge and Ruislip South",70631,44811,11816,22511,2215,1414,6346,0,2015,NA
"1281","Uxbridge and South Ruislip",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5635574865
"1282","Vale of Clwyd",55781,35534,15017,12508,4472,0,515,0,2010,0.559417007
"1283","Vale Of Clwyd",56505,35261,13523,13760,915,0,4577,0,2015,NA
"1284","Vale of Glamorgan",70211,48667,16034,20341,7403,457,1529,0,2010,0.5234642603
"1285","Vale Of Glamorgan",72794,51293,16727,23607,1309,1054,5489,0,2015,NA
"1286","Vauxhall",74811,43191,21498,9301,10847,708,0,0,2010,0.2242839619
"1287","Vauxhall",82231,47941,25778,13070,3312,3658,1385,0,2015,0.2242839619
"1288","Wakefield",70812,44444,17454,15841,7256,873,0,0,2010,0.6276506725
"1289","Wakefield",70521,42973,17301,14688,1483,1069,7862,0,2015,0.6276506725
"1290","Wallasey",65915,41654,21578,13071,5693,0,1205,0,2010,0.4992311963
"1291","Wallasey",65495,43366,26176,9828,1011,1288,5063,0,2015,0.4992311963
"1292","Walsall North",67080,36883,14392,12455,840,529,8122,0,2015,0.7418521817
"1293","Walsall North",64034,36187,13385,12395,4754,0,1737,0,2010,0.7418521817
"1294","Walsall South",64387,40882,16211,14456,5880,0,3449,0,2010,0.6163527587
"1295","Walsall South",67743,41838,19740,13733,676,1149,6540,0,2015,0.6163527587
"1296","Walthamstow",67015,41796,0,5584,1661,2661,2507,0,2015,0.3348858552
"1297","Walthamstow",64625,40994,21252,5734,11774,767,823,0,2010,0.3348858552
"1298","Wansbeck",61782,38273,17548,6714,10517,601,974,0,2010,0.5619074863
"1299","Wansbeck",60705,38528,19267,8386,2407,1454,7014,0,2015,0.5619074863
"1300","Wantage",80456,56341,7855,29284,15737,1044,2421,0,2010,0.4643220697
"1301","Wantage",82931,58320,9343,31092,7611,2986,7288,0,2015,0.4643220697
"1302","Warley",62751,38270,20240,9484,5929,0,2617,0,2010,0.6182570994
"1303","Warley",63738,37829,22012,7310,805,1465,6237,0,2015,0.6182570994
"1304","Warrington North",70473,44211,20135,13364,9196,0,0,0,2010,0.5864758174
"1305","Warrington North",72104,45419,21720,12797,1881,1264,7757,0,2015,0.5864758174
"1306","Warrington South",84767,59353,23178,25928,3335,1765,4909,0,2015,0.5062010223
"1307","Warrington South",79182,54874,18088,19641,15094,427,1624,0,2010,0.5062010223
"1308","Warwick and Leamington",67800,49032,17363,20876,8977,693,926,0,2010,0.4112854182
"1309","Warwick and Leamington",71578,50581,17643,24249,2512,1994,4183,0,2015,0.4112854182
"1310","Warwickshire North",70138,47265,18939,18993,5481,0,1335,0,2010,NA
"1311","Warwickshire North",70152,47377,17069,20042,978,894,8256,0,2015,NA
"1312","Washington and Sunderland West",68190,37257,20478,7033,993,1091,7321,0,2015,0.618513324
"1313","Washington and Sunderland West",68910,37334,19615,8157,6382,0,1267,0,2010,0.618513324
"1314","Watford",80798,55208,14750,19291,17866,885,1199,0,2010,0.5118404276
"1315","Watford",83535,56149,14606,24400,10152,1332,5481,0,2015,0.5118404276
"1316","Waveney",78532,51141,19802,20571,6811,1167,2684,0,2010,0.6320988539
"1317","Waveney",80166,52196,19696,22104,1055,1761,7580,0,2015,0.6320988539
"1318","Wealden",76537,54969,5266,31090,13911,1383,3319,0,2010,0.5254627488
"1319","Wealden",80236,57017,6165,32508,5180,3623,9541,0,2015,0.5254627488
"1320","Weaver Vale",67269,43990,15962,16953,8196,338,1018,0,2010,0.50198502
"1321","Weaver Vale",68407,46867,19421,20227,1395,1183,4547,0,2015,0.50198502
"1322","Wellingborough",76846,51661,13131,24918,8848,480,1636,0,2010,0.6293857655
"1323","Wellingborough",74317,50430,9839,26265,2240,2218,9868,0,2015,0.6293857655
"1324","Wells",79405,56904,3780,26247,18662,2331,5644,0,2015,0.534930546
"1325","Wells",79432,55864,4198,23760,24560,631,1711,0,2010,0.534930546
"1326","Welwyn Hatfield",72058,48972,10471,27894,8010,796,1643,0,2010,0.5253524015
"1327","Welwyn Hatfield",73247,50205,13128,25281,3140,1742,6556,0,2015,0.5253524015
"1328","Wentworth and Dearne",74283,43189,24571,6441,1135,0,10733,0,2015,0.689750761
"1329","Wentworth and Dearne",72586,42106,21316,7396,6787,0,3418,0,2010,0.689750761
"1330","West Aberdeenshire and Kincardine",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3860722321
"1331","West Bromwich East",63637,37492,18817,9347,751,628,7949,0,2015,0.6759402633
"1332","West Bromwich East",62668,37950,17657,10961,4993,0,984,0,2010,0.6759402633
"1333","West Bromwich West",64859,36171,16263,10612,4336,0,1566,0,2010,0.6913566785
"1334","West Bromwich West",65524,35026,0,8365,550,697,8836,0,2015,0.6913566785
"1335","West Dorset",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5099666169
"1336","West Dunbartonshire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3800555298
"1337","West Ham",90640,52793,36132,8146,1430,2651,3950,0,2015,0.4737574112
"1338","West Ham",85313,46951,29422,6888,5392,645,766,0,2010,0.4737574112
"1339","West Lancashire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5493803945
"1340","West Suffolk",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6326052758
"1341","West Worcestershire",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5258070914
"1342","Westminster North",66739,39598,17377,15251,5513,478,315,0,2010,0.3297510088
"1343","Westminster North",62346,39514,18504,16527,1457,1322,1489,0,2015,0.3297510088
"1344","Westmorland and Lonsdale",66988,51487,1158,18632,30896,0,801,0,2010,0.4745074061
"1345","Westmorland and Lonsdale",65857,48929,2661,16245,25194,1798,3031,0,2015,0.4745074061
"1346","Weston-Super-Mare",78487,52716,5772,23356,20665,0,1406,0,2010,0.5666096718
"1347","Weston-Super-Mare",80309,52552,9594,25203,5486,2592,9366,0,2015,0.5666096718
"1348","Wigan",75990,45293,23625,9389,1255,1273,8818,0,2015,0.6271327758
"1349","Wigan",75407,44140,21404,10917,6797,0,2516,0,2010,0.6271327758
"1350","Wiltshire North",67851,50556,4930,28938,7892,2350,5813,0,2015,NA
"1351","Wiltshire North",66315,48699,3239,25114,17631,599,1908,0,2010,NA
"1352","Wiltshire South West",71647,49018,5613,25321,14954,0,2684,0,2010,NA
"1353","Wiltshire South West",73018,51643,6948,27198,5482,2985,9030,0,2015,NA
"1354","Wimbledon",65853,48422,12606,25225,6129,1986,2476,0,2015,0.2936939468
"1355","Wimbledon",65723,47395,10550,23257,11849,590,914,0,2010,0.2936939468
"1356","Winchester",74119,55316,4613,30425,13511,2645,4122,0,2015,0.3971032124
"1357","Winchester",73805,55955,3051,27155,24107,0,1139,0,2010,0.3971032124
"1358","Windsor",71538,50160,6714,31797,4323,1834,4992,0,2015,0.4608509373
"1359","Windsor",69511,49588,4910,30172,11118,628,1612,0,2010,0.4608509373
"1360","Wirral South",56956,41837,20165,15566,1474,895,3737,0,2015,0.4654894164
"1361","Wirral South",56099,39906,16276,15745,6611,0,1274,0,2010,0.4654894164
"1362","Wirral West",55050,39372,14290,16726,6630,0,899,0,2010,0.4469019958
"1363","Wirral West",55377,41858,18898,18481,1433,0,2772,0,2015,0.4469019958
"1364","Witham",66969,46835,8656,24448,9252,1419,3060,0,2010,0.6083046754
"1365","Witham",67090,47168,7467,27123,2891,2038,7569,0,2015,0.6083046754
"1366","Witney",79767,58482,10046,35201,3953,2970,5352,0,2015,0.4634465746
"1367","Witney",78766,57769,7511,33973,11233,2385,2001,0,2010,0.4634465746
"1368","Woking",74269,51964,8389,29199,6047,2109,5873,0,2015,0.4405758349
"1369","Woking",73837,52786,4246,26551,19744,0,1997,0,2010,0.4405758349
"1370","Wokingham",77881,55999,8132,32329,7572,2092,5516,0,2015,0.4246933515
"1371","Wokingham",76386,54528,5516,28754,15262,567,1664,0,2010,0.4246933515
"1372","Wolverhampton North East",61065,34003,15669,10174,935,701,6524,0,2015,0.6770525193
"1373","Wolverhampton North East",58931,34894,14448,11964,4711,0,1138,0,2010,0.6770525193
"1374","Wolverhampton South East",62556,34764,18539,7761,798,605,7061,0,2015,0.681449563
"1375","Wolverhampton South East",59884,34707,16505,9912,5277,0,2675,0,2010,0.681449563
"1376","Wolverhampton South West",58845,40160,15653,16344,6430,0,1487,0,2010,0.5436750208
"1377","Wolverhampton South West",60368,40209,17374,16573,845,1058,4310,0,2015,0.5436750208
"1378","Worcester",72461,49723,16888,22534,1677,2024,6378,0,2015,0.5367724331
"1379","Worcester",72835,48974,16376,19358,9525,735,1360,0,2010,0.5367724331
"1380","Worcestershire Mid",72145,50931,7613,27770,11906,593,3049,0,2010,NA
"1381","Worcestershire Mid",73069,52225,7548,29763,3750,1933,9231,0,2015,NA
"1382","Worcestershire West",72807,54093,3661,27213,20459,641,2119,0,2010,NA
"1383","Worcestershire West",73394,54100,7244,30342,5245,3505,7764,0,2015,NA
"1384","Workington",58615,38463,16282,11596,1708,1149,7538,0,2015,0.6031954085
"1385","Workington",59607,39259,17865,13290,5318,0,876,0,2010,0.6031954085
"1386","Worsley and Eccles South",72177,42048,18600,12654,1100,1242,7688,0,2015,0.5979113324
"1387","Worsley and Eccles South",72473,41701,17892,13555,6883,0,2037,0,2010,0.5979113324
"1388","Worthing East and Shoreham",74001,48397,8087,23458,12353,1126,2984,0,2010,NA
"1389","Worthing East and Shoreham",74775,49898,9737,24686,3360,2605,8267,0,2015,NA
"1390","Worthing West",75945,49123,5800,25416,13687,996,2924,0,2010,0.561226606
"1391","Worthing West",75617,50763,7955,26124,4477,2938,9269,0,2015,0.561226606
"1392","Wrekin, The",65544,45968,12472,21922,8019,0,2050,0,2010,NA
"1393","Wrekin, The",65942,45437,11836,22579,1959,1443,7620,0,2015,NA
"1394","Wrexham",50872,32976,12161,8375,8503,0,774,0,2010,0.5733141838
"1395","Wrexham",50992,32719,12181,10350,1735,669,5072,0,2015,0.5733141838
"1396","Wycombe",76371,51439,11588,26444,4546,3086,5198,0,2015,0.4804315306
"1397","Wycombe",74175,48151,8326,23423,13863,0,2123,0,2010,0.4804315306
"1398","Wyre and Preston North",70201,51308,10932,26877,11033,0,2466,0,2010,0.5403704776
"1399","Wyre and Preston North",70637,49893,12377,26528,2712,1699,6577,0,2015,0.5403704776
"1400","Wyre Forest",76713,50899,7298,18793,6040,0,1498,0,2010,0.6314547474
"1401","Wyre Forest",77407,49440,9523,22394,1228,1117,7967,0,2015,0.6314547474
"1402","Wythenshawe and Sale East",79923,40751,17987,10412,9107,0,1405,0,2010,0.498734782
"1403","Wythenshawe and Sale East",75994,43263,21693,11124,1927,1658,6354,0,2015,0.498734782
"1404","Yeovil",82314,57160,2991,18807,31843,0,2357,0,2010,0.5929247335
"1405","Yeovil",82447,56933,4053,24178,18865,2191,7646,0,2015,0.5929247335
"1406","Ynys Mon",50075,34444,11490,7744,2592,0,1201,0,2010,NA
"1407","Ynys Mon",49939,34926,10871,7393,751,0,5121,0,2015,NA
"1408","Ynys Môn",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5094200416
"1409","York Central",76439,46483,18573,12122,11694,1669,1100,0,2010,0.3853303819
"1410","York Central",75351,47677,0,13496,3804,4791,4795,0,2015,0.3853303819
"1411","York Outer",75939,53300,9108,22912,19224,0,1100,0,2010,0.4491634826
"1412","York Outer",78561,53903,13348,26477,6269,2558,5251,0,2015,0.4491634826
"1413","Yorkshire East",81023,49991,10343,25276,2966,1731,8955,0,2015,NA
"1414","Yorkshire East",80105,51254,10401,24328,10842,762,2142,0,2010,NA
